GEMEENTENAAM,KOSTEN_FARMACIE per AANTAL_VERZEKERDEJAREN
AA EN HUNZE,"287,0050523990106"
AALBURG,"292,1271453752297"
AALSMEER,"287,5626136755804"
AALTEN,"305,77096814514243"
ACHTKARSPELEN,"292,29450013837067"
ALBLASSERDAM,"317,76830193483767"
ALBRANDSWAARD,"271,3499842594685"
ALKMAAR,"285,64181119128244"
ALMELO,"329,35013288695893"
ALMERE,"272,46479975937496"
ALPHEN AAN DEN RIJN,"286,0462156400826"
ALPHEN-CHAAM,"262,2732578718422"
AMELAND,"241,13572054051266"
AMERSFOORT,"275,90255050431944"
AMSTELVEEN,"309,9907280472792"
AMSTERDAM,"343,9888261344587"
APELDOORN,"311,3813937630466"
APPINGEDAM,"387,8391021605137"
ARNHEM,"308,8148363091965"
ASSEN,"287,9255458144358"
ASTEN,"277,85073693481"
BAARLE-NASSAU,"379,04678052434906"
BAARN,"317,1132721535983"
BARENDRECHT,"272,15508360969534"
BARNEVELD,"263,5514544393118"
BEDUM,"283,88209220789525"
BEEK,"362,14198095327174"
BEEMSTER,"236,4390708656525"
BEESEL,"327,1483246184409"
BERG EN DAL,"327,7696010393611"
BERGEIJK,"277,3040046463484"
BERGEN LB,"342,6983769557177"
BERGEN NH,"302,87858300016165"
BERGEN OP ZOOM,"371,86052579110674"
BERKELLAND,"305,41967952890184"
BERNHEZE,"300,5447499356292"
BEST,"301,7629285585564"
BEUNINGEN,"268,3268245529241"
BEVERWIJK,"342,0409030142566"
BINNENMAAS,"295,88913045917275"
BLADEL,"318,89926520396995"
BLARICUM,"326,3006735137814"
BLOEMENDAAL,"310,14900104967484"
BODEGRAVEN-REEUWIJK,"279,0050883603833"
BOEKEL,"271,01881528296934"
BORGER-ODOORN,"337,1975925448857"
BORNE,"313,8946144390022"
BORSELE,"270,47982648452745"
BOXMEER,"302,7216821852535"
BOXTEL,"283,1455117583429"
BREDA,"304,67185586522993"
BRIELLE,"345,51044144957615"
BRONCKHORST,"320,248581816551"
BRUMMEN,"323,9953734809604"
BRUNSSUM,"405,7829366784206"
BUNNIK,"292,61591853957844"
BUNSCHOTEN,"272,6020248430031"
BUREN,"288,0075218420698"
CAPELLE AAN DEN IJSSEL,"322,30314256254815"
CASTRICUM,"306,53610597495975"
COEVORDEN,"318,6712173536903"
CRANENDONCK,"339,0133547928099"
CROMSTRIJEN,"340,6685465468482"
CUIJK,"306,80409530476675"
CULEMBORG,"281,6342600703135"
DALFSEN,"290,3878950943746"
DANTUMADIEL,"318,35609550469354"
DE BILT,"292,40377161406286"
DE FRYSKE MARREN,"292,2493734613893"
DE MARNE,"329,49177517363205"
DE RONDE VENEN,"288,14984819488944"
DE WOLDEN,"305,2008109818282"
DELFT,"321,51432670299823"
DELFZIJL,"390,37416804755776"
DEN HELDER,"361,09068451663666"
DEURNE,"291,80222645414875"
DEVENTER,"325,08478171840113"
DIEMEN,"296,84197964157187"
DINKELLAND,"265,7066357883735"
DOESBURG,"355,00952976627497"
DOETINCHEM,"323,2769084539603"
DONGEN,"306,6175285403818"
DONGERADEEL,"309,6341112972115"
DORDRECHT,"318,47913058660095"
DRECHTERLAND,"232,4351107869699"
DRIMMELEN,"299,6426848097364"
DRONTEN,"287,4118820335618"
DRUTEN,"306,58258293603177"
DUIVEN,"288,35496648108074"
ECHT-SUSTEREN,"370,1730069585478"
EDAM-VOLENDAM,"316,0215934712234"
EDE,"280,06487673144085"
EEMNES,"277,12745154890007"
EEMSMOND,"327,4197501939207"
EERSEL,"281,0762673750929"
EIJSDEN-MARGRATEN,"360,7301540952816"
EINDHOVEN,"318,8402107981379"
ELBURG,"288,76954459014553"
EMMEN,"340,5680625831644"
ENKHUIZEN,"293,97654066336474"
ENSCHEDE,"313,57668830921995"
EPE,"353,9260257614764"
ERMELO,"322,2717001647941"
ETTEN-LEUR,"304,0167604433899"
