GEMEENTENAAM,KOSTEN_FARMACIE / AANTAL_VERZEKERDEJAREN
AA EN HUNZE,"263,02233539389135"
AALBURG,"261,31686043051513"
AALSMEER,"255,8514304121409"
AALTEN,"276,7758272534361"
ACHTKARSPELEN,"248,22956837557143"
ALBLASSERDAM,"306,582281204866"
ALBRANDSWAARD,"225,99821925158795"
ALKMAAR,"250,68082349757458"
ALMELO,"301,82397094663276"
ALMERE,"245,3564151967247"
ALPHEN AAN DEN RIJN,"254,11205877094469"
ALPHEN-CHAAM,"249,5644261988632"
AMELAND,"233,093030332608"
AMERSFOORT,"251,82467334004355"
AMSTELVEEN,"284,01187337229044"
AMSTERDAM,"311,5713167654141"
APELDOORN,"275,7084809586999"
APPINGEDAM,"355,32589619243277"
ARNHEM,"273,9738127769855"
ASSEN,"248,3162556634222"
ASTEN,"232,2002731123663"
BAARLE-NASSAU,"331,38011051408114"
BAARN,"278,87388985655065"
BARENDRECHT,"242,32894715030233"
BARNEVELD,"234,19614179415447"
BEDUM,"263,08271108941"
BEEK,"301,95550674200257"
BEEMSTER,"213,34910805837333"
BEESEL,"279,96129181671347"
BERG EN DAL,"289,810153302899"
BERGEIJK,"244,9994841377905"
BERGEN LB,"315,8731219476395"
BERGEN NH,"270,8769557720812"
BERGEN OP ZOOM,"325,11019836682146"
BERKELLAND,"273,62043408284734"
BERNHEZE,"268,3398621430067"
BEST,"278,67336537910825"
BEUNINGEN,"240,93508460322641"
BEVERWIJK,"295,85612795393706"
BINNENMAAS,"269,278116051624"
BLADEL,"286,91786666231593"
BLARICUM,"281,01811564687256"
BLOEMENDAAL,"278,99021997734303"
BODEGRAVEN-REEUWIJK,"248,25651085603272"
BOEKEL,"233,45559001868259"
BORGER-ODOORN,"306,17090632663485"
BORNE,"297,1577356759765"
BORSELE,"238,74879287377414"
BOXMEER,"268,311584435339"
BOXTEL,"249,16439640695322"
BREDA,"271,10990773655067"
BRIELLE,"308,4995010597072"
BRONCKHORST,"292,5751548715763"
BRUMMEN,"279,67413353377333"
BRUNSSUM,"337,27941248483614"
BUNNIK,"261,6800850877158"
