,GEMEENTENAAM,GESLACHT,LEEFTIJDSKLASSE,KOSTEN_FARMACIE / AANTAL_VERZEKERDEJAREN,AANTAL_VERZEKERDEJAREN
0,AA EN HUNZE,M, 0 t/m  4 jaar,"78,6632376713623","476,33"
1,AALBURG,M, 0 t/m  4 jaar,"104,32952823270593","409,1"
2,AALSMEER,M, 0 t/m  4 jaar,"77,92223466188983","893,2"
3,AALTEN,M, 0 t/m  4 jaar,"79,7977469952545","676,43"
4,ACHTKARSPELEN,M, 0 t/m  4 jaar,"69,90062354841967","792,24"
5,ALBLASSERDAM,M, 0 t/m  4 jaar,"136,6427291728874","602,82"
6,ALBRANDSWAARD,M, 0 t/m  4 jaar,"125,37969743356363","725,13"
7,ALKMAAR,M, 0 t/m  4 jaar,"78,1520026795639","2716,86"
8,ALMELO,M, 0 t/m  4 jaar,"144,63868469629614","1831,06"
9,ALMERE,M, 0 t/m  4 jaar,"114,8832318948438","5885,34"
10,ALPHEN AAN DEN RIJN,M, 0 t/m  4 jaar,"95,61528560047593","2874,47"
11,ALPHEN-CHAAM,M, 0 t/m  4 jaar,"121,52367255627084","219,03"
12,AMELAND,M, 0 t/m  4 jaar,"88,18327169893409","91,94"
13,AMERSFOORT,M, 0 t/m  4 jaar,"84,34383052062181","4688,24"
14,AMSTELVEEN,M, 0 t/m  4 jaar,"89,04519162450465","2097,07"
15,AMSTERDAM,M, 0 t/m  4 jaar,"85,42732623811955","22486,52"
16,APELDOORN,M, 0 t/m  4 jaar,"95,44983634589764","3812,92"
17,APPINGEDAM,M, 0 t/m  4 jaar,"113,18051969012265","247,84"
18,ARNHEM,M, 0 t/m  4 jaar,"107,13417377515835","4187,48"
19,ASSEN,M, 0 t/m  4 jaar,"97,2146661113425","1800,75"
20,ASTEN,M, 0 t/m  4 jaar,"67,31265229124637","381,67"
21,BAARLE-NASSAU,M, 0 t/m  4 jaar,"51,120325693606766","132,64"
22,BAARN,M, 0 t/m  4 jaar,"117,63684147035002","580,27"
23,BARENDRECHT,M, 0 t/m  4 jaar,"141,0097931904344","1379,53"
24,BARNEVELD,M, 0 t/m  4 jaar,"64,82565840909598","1790,68"
25,BEDUM,M, 0 t/m  4 jaar,"120,67818160009595","250,11"
26,BEEK,M, 0 t/m  4 jaar,"84,09276741247305","269,06"
27,BEEMSTER,M, 0 t/m  4 jaar,"39,4140768758945","195,64"
28,BEESEL,M, 0 t/m  4 jaar,"87,90398635542773","299,02"
29,BERG EN DAL,M, 0 t/m  4 jaar,"63,50728394097899","640,45"
30,BERGEIJK,M, 0 t/m  4 jaar,"139,87660264531493","394,66"
31,BERGEN LB,M, 0 t/m  4 jaar,"71,33380403232132","254,94"
32,BERGEN NH,M, 0 t/m  4 jaar,"71,81062355658199","458,98"
33,BERGEN OP ZOOM,M, 0 t/m  4 jaar,"127,07060828283096","1508,18"
34,BERKELLAND,M, 0 t/m  4 jaar,"93,82480556692592","1001,63"
35,BERNHEZE,M, 0 t/m  4 jaar,"113,50493997083714","733,81"
36,BEST,M, 0 t/m  4 jaar,"86,5118506176731","666,21"
37,BEUNINGEN,M, 0 t/m  4 jaar,"91,37608309366357","545,89"
38,BEVERWIJK,M, 0 t/m  4 jaar,"72,60558868600336","1083,26"
39,BINNENMAAS,M, 0 t/m  4 jaar,"126,73911812900343","671,3"
40,BLADEL,M, 0 t/m  4 jaar,"56,333971060386155","454,74"
41,BLARICUM,M, 0 t/m  4 jaar,"132,00242795987478","156,51"
42,BLOEMENDAAL,M, 0 t/m  4 jaar,"74,51977401129943","419,49"
43,BODEGRAVEN-REEUWIJK,M, 0 t/m  4 jaar,"107,53373554435345","876,82"
44,BOEKEL,M, 0 t/m  4 jaar,"52,923671890901694","245,65"
45,BORGER-ODOORN,M, 0 t/m  4 jaar,"102,25267520873602","501,83"
46,BORNE,M, 0 t/m  4 jaar,"103,65545540389732","582,45"
47,BORSELE,M, 0 t/m  4 jaar,"75,73126173520308","591,17"
48,BOXMEER,M, 0 t/m  4 jaar,"107,94361575678435","597,33"
49,BOXTEL,M, 0 t/m  4 jaar,"89,49119438196082","729,08"
50,BREDA,M, 0 t/m  4 jaar,"90,7386832502169","4529,79"
51,BRIELLE,M, 0 t/m  4 jaar,"97,63981230586214","302,62"
52,BRONCKHORST,M, 0 t/m  4 jaar,"90,47260915285","694,21"
53,BRUMMEN,M, 0 t/m  4 jaar,"86,07749401826263","409,58"
54,BRUNSSUM,M, 0 t/m  4 jaar,"194,3275923566879","588,75"
55,BUNNIK,M, 0 t/m  4 jaar,"103,71810112537644","378,54"
56,BUNSCHOTEN,M, 0 t/m  4 jaar,"146,26771296238343","639,08"
57,BUREN,M, 0 t/m  4 jaar,"89,36825555278264","601,05"
58,CAPELLE AAN DEN IJSSEL,M, 0 t/m  4 jaar,"101,14525498438276","1712,85"
59,CASTRICUM,M, 0 t/m  4 jaar,"59,43801125133039","657,7"
60,COEVORDEN,M, 0 t/m  4 jaar,"95,3513065569804","826,6"
61,CRANENDONCK,M, 0 t/m  4 jaar,"107,25996765498651","463,75"
62,CROMSTRIJEN,M, 0 t/m  4 jaar,"110,76615619682606","287,97"
63,CUIJK,M, 0 t/m  4 jaar,"84,11829644652147","567,05"
64,CULEMBORG,M, 0 t/m  4 jaar,"77,53662769578496","743,29"
65,DALFSEN,M, 0 t/m  4 jaar,"37,00877507698747","668,94"
66,DANTUMADIEL,M, 0 t/m  4 jaar,"46,847802173626086","454,54"
67,DE BILT,M, 0 t/m  4 jaar,"91,80714019183917","911,18"
68,DE FRYSKE MARREN,M, 0 t/m  4 jaar,"46,830776812665555","1298,64"
69,DE MARNE,M, 0 t/m  4 jaar,"73,67349119507608","233,96"
70,DE RONDE VENEN,M, 0 t/m  4 jaar,"60,25678563914021","903,01"
71,DE WOLDEN,M, 0 t/m  4 jaar,"146,37164759004517","476,15"
72,DELFT,M, 0 t/m  4 jaar,"85,18384736455182","2026,79"
73,DELFZIJL,M, 0 t/m  4 jaar,"91,46123814835471","519,97"
74,DEN HELDER,M, 0 t/m  4 jaar,"119,5001570623066","1273,38"
75,DEURNE,M, 0 t/m  4 jaar,"86,75047141054542","705,33"
76,DEVENTER,M, 0 t/m  4 jaar,"97,69250958857026","2560,34"
77,DIEMEN,M, 0 t/m  4 jaar,"54,39821759613586","587,97"
78,DINKELLAND,M, 0 t/m  4 jaar,"90,6563770894172","558,17"
79,DOESBURG,M, 0 t/m  4 jaar,"144,5594021717354","249,57"
80,DOETINCHEM,M, 0 t/m  4 jaar,"108,18513845236183","1307,67"
81,DONGEN,M, 0 t/m  4 jaar,"115,94521339967763","570,76"
82,DONGERADEEL,M, 0 t/m  4 jaar,"43,69348259026083","622,64"
83,DORDRECHT,M, 0 t/m  4 jaar,"115,15901194813998","3068,26"
84,DRECHTERLAND,M, 0 t/m  4 jaar,"84,05059069706614","458,78"
85,DRIMMELEN,M, 0 t/m  4 jaar,"68,87597316835812","575,44"
86,DRONTEN,M, 0 t/m  4 jaar,"104,37453914147308","1071,37"
87,DRUTEN,M, 0 t/m  4 jaar,"113,59730904189809","430,33"
88,DUIVEN,M, 0 t/m  4 jaar,"106,61318495562756","567,92"
89,ECHT-SUSTEREN,M, 0 t/m  4 jaar,"145,18070250436395","561,42"
90,EDAM-VOLENDAM,M, 0 t/m  4 jaar,"191,6766845972816","832,84"
91,EDE,M, 0 t/m  4 jaar,"78,52943797987172","2849,72"
92,EEMNES,M, 0 t/m  4 jaar,"92,00178399228543","207,4"
93,EEMSMOND,M, 0 t/m  4 jaar,"93,80585221845968","460,68"
94,EERSEL,M, 0 t/m  4 jaar,"86,52279760676709","387,76"
