,GEMEENTENAAM,GESLACHT,LEEFTIJDSKLASSE,KOSTEN_FARMACIE per AANTAL_VERZEKERDEJAREN,AANTAL_VERZEKERDEJAREN
0,AA EN HUNZE,M, 0 t/m  4 jaar,"106,04077653260194","466,69"
1,AALBURG,M, 0 t/m  4 jaar,"80,70422422954304","376,4"
2,AALSMEER,M, 0 t/m  4 jaar,"81,79868072172283","773,15"
3,AALTEN,M, 0 t/m  4 jaar,"113,531929149415","582,07"
4,ACHTKARSPELEN,M, 0 t/m  4 jaar,"90,61336276083466","697,76"
5,ALBLASSERDAM,M, 0 t/m  4 jaar,"168,58646296722966","564,23"
6,ALBRANDSWAARD,M, 0 t/m  4 jaar,"90,73318654923939","649,48"
7,ALKMAAR,M, 0 t/m  4 jaar,"98,65519359635618","2669,73"
8,ALMELO,M, 0 t/m  4 jaar,"129,97062712836296","1709,06"
9,ALMERE,M, 0 t/m  4 jaar,"112,983943594578","5600,88"
10,ALPHEN AAN DEN RIJN,M, 0 t/m  4 jaar,"91,72161726899323","2707,28"
11,ALPHEN-CHAAM,M, 0 t/m  4 jaar,"61,0508695652174","207,0"
12,AMELAND,M, 0 t/m  4 jaar,"18,37377922462267","101,37"
13,AMERSFOORT,M, 0 t/m  4 jaar,"89,81924563379765","4367,64"
14,AMSTELVEEN,M, 0 t/m  4 jaar,"125,214601527387","2189,36"
15,AMSTERDAM,M, 0 t/m  4 jaar,"88,79288941111048","21651,09"
16,APELDOORN,M, 0 t/m  4 jaar,"88,09224757031048","3720,64"
17,APPINGEDAM,M, 0 t/m  4 jaar,"110,36991201381464","243,22"
18,ARNHEM,M, 0 t/m  4 jaar,"97,64161014341109","4061,75"
19,ASSEN,M, 0 t/m  4 jaar,"75,89536395147314","1615,6"
20,ASTEN,M, 0 t/m  4 jaar,"99,50122311980886","351,56"
21,BAARLE-NASSAU,M, 0 t/m  4 jaar,"56,135693898017436","129,63"
22,BAARN,M, 0 t/m  4 jaar,"60,25352320792007","541,41"
23,BARENDRECHT,M, 0 t/m  4 jaar,"139,85848161421615","1275,17"
24,BARNEVELD,M, 0 t/m  4 jaar,"100,59760362514248","1798,55"
25,BEDUM,M, 0 t/m  4 jaar,"91,44033365261814","250,56"
26,BEEK,M, 0 t/m  4 jaar,"161,187061325771","282,1"
27,BEEMSTER,M, 0 t/m  4 jaar,"58,4151413463494","196,68"
28,BEESEL,M, 0 t/m  4 jaar,"492,124812853752","273,85"
29,BERG EN DAL,M, 0 t/m  4 jaar,"72,22985442806676","656,72"
30,BERGEIJK,M, 0 t/m  4 jaar,"110,46469044666802","346,79"
31,BERGEN LB,M, 0 t/m  4 jaar,"135,33911772764637","218,98"
32,BERGEN NH,M, 0 t/m  4 jaar,"118,2379704080861","396,73"
33,BERGEN OP ZOOM,M, 0 t/m  4 jaar,"112,28266208755498","1461,71"
34,BERKELLAND,M, 0 t/m  4 jaar,"80,86475666811363","829,32"
35,BERNHEZE,M, 0 t/m  4 jaar,"125,83512598721323","664,75"
36,BEST,M, 0 t/m  4 jaar,"65,55396965586854","634,06"
37,BEUNINGEN,M, 0 t/m  4 jaar,"81,42469481377809","514,44"
38,BEVERWIJK,M, 0 t/m  4 jaar,"97,64933149265305","1057,58"
39,BINNENMAAS,M, 0 t/m  4 jaar,"90,33879295892707","596,5"
40,BLADEL,M, 0 t/m  4 jaar,"99,11322798099238","452,45"
41,BLARICUM,M, 0 t/m  4 jaar,"66,98896814075131","210,3"
42,BLOEMENDAAL,M, 0 t/m  4 jaar,"77,96801619433198","444,6"
43,BODEGRAVEN-REEUWIJK,M, 0 t/m  4 jaar,"106,49694716972337","858,22"
44,BOEKEL,M, 0 t/m  4 jaar,"94,04472357027309","210,18"
45,BORGER-ODOORN,M, 0 t/m  4 jaar,"70,8586052067886","485,52"
46,BORNE,M, 0 t/m  4 jaar,"80,22933313961936","550,64"
47,BORSELE,M, 0 t/m  4 jaar,"162,6674748680456","536,17"
48,BOXMEER,M, 0 t/m  4 jaar,"109,79506128334536","499,32"
49,BOXTEL,M, 0 t/m  4 jaar,"67,20291159883129","588,68"
50,BREDA,M, 0 t/m  4 jaar,"94,18110295114461","4278,34"
51,BRIELLE,M, 0 t/m  4 jaar,"91,61720522007823","304,21"
52,BRONCKHORST,M, 0 t/m  4 jaar,"146,7753367333595","611,76"
53,BRUMMEN,M, 0 t/m  4 jaar,"79,91916461265272","377,31"
54,BRUNSSUM,M, 0 t/m  4 jaar,"128,59498381008603","558,99"
55,BUNNIK,M, 0 t/m  4 jaar,"66,0774164636025","357,03"
56,BUNSCHOTEN,M, 0 t/m  4 jaar,"102,12978139832805","608,87"
57,BUREN,M, 0 t/m  4 jaar,"63,86612773964249","573,98"
58,CAPELLE AAN DEN IJSSEL,M, 0 t/m  4 jaar,"91,22586246341021","1704,71"
59,CASTRICUM,M, 0 t/m  4 jaar,"68,24831899685002","660,32"
60,COEVORDEN,M, 0 t/m  4 jaar,"86,24516458135548","705,73"
61,CRANENDONCK,M, 0 t/m  4 jaar,"67,62749213011543","419,32"
62,CROMSTRIJEN,M, 0 t/m  4 jaar,"133,42815483561697","250,33"
63,CUIJK,M, 0 t/m  4 jaar,"125,5163287086446","562,2"
64,CULEMBORG,M, 0 t/m  4 jaar,"90,31122811168954","676,16"
65,DALFSEN,M, 0 t/m  4 jaar,"31,99203143590707","638,76"
66,DANTUMADIEL,M, 0 t/m  4 jaar,"153,61424653579678","415,68"
67,DE BILT,M, 0 t/m  4 jaar,"101,95321380316126","932,54"
68,DE FRYSKE MARREN,M, 0 t/m  4 jaar,"79,49482101737492","1194,25"
69,DE MARNE,M, 0 t/m  4 jaar,"73,78168264110757","187,8"
70,DE RONDE VENEN,M, 0 t/m  4 jaar,"90,9460696137069","889,48"
71,DE WOLDEN,M, 0 t/m  4 jaar,"96,35143113287998","457,33"
72,DELFT,M, 0 t/m  4 jaar,"106,73625022313017","2016,76"
73,DELFZIJL,M, 0 t/m  4 jaar,"88,89723053387027","444,49"
74,DEN HELDER,M, 0 t/m  4 jaar,"99,18901776153928","1223,43"
75,DEURNE,M, 0 t/m  4 jaar,"63,34178159807634","723,62"
76,DEVENTER,M, 0 t/m  4 jaar,"99,81823307328644","2394,44"
77,DIEMEN,M, 0 t/m  4 jaar,"63,51517918283497","613,34"
78,DINKELLAND,M, 0 t/m  4 jaar,"100,52590347216754","508,04"
79,DOESBURG,M, 0 t/m  4 jaar,"159,28006004503376","199,85"
80,DOETINCHEM,M, 0 t/m  4 jaar,"111,7837239082103","1272,91"
81,DONGEN,M, 0 t/m  4 jaar,"87,67732870641042","530,23"
82,DONGERADEEL,M, 0 t/m  4 jaar,"78,1062870184209","552,09"
83,DORDRECHT,M, 0 t/m  4 jaar,"98,659464982289","2955,79"
84,DRECHTERLAND,M, 0 t/m  4 jaar,"53,996894057902026","441,09"
85,DRIMMELEN,M, 0 t/m  4 jaar,"70,00991114775121","545,85"
86,DRONTEN,M, 0 t/m  4 jaar,"96,35496509699972","946,91"
87,DRUTEN,M, 0 t/m  4 jaar,"97,72226559345303","371,47"
88,DUIVEN,M, 0 t/m  4 jaar,"178,63238011773896","524,89"
89,ECHT-SUSTEREN,M, 0 t/m  4 jaar,"113,8466788897562","550,87"
90,EDAM-VOLENDAM,M, 0 t/m  4 jaar,"155,04126689779355","744,18"
91,EDE,M, 0 t/m  4 jaar,"95,61893135571755","2842,48"
92,EEMNES,M, 0 t/m  4 jaar,"68,7423726953468","182,24"
93,EEMSMOND,M, 0 t/m  4 jaar,"58,43993292609893","333,96"
94,EERSEL,M, 0 t/m  4 jaar,"88,86325191684452","379,53"
95,EIJSDEN-MARGRATEN,M, 0 t/m  4 jaar,"197,8207737481508","446,14"
96,EINDHOVEN,M, 0 t/m  4 jaar,"91,87798879906516","4912,09"
97,ELBURG,M, 0 t/m  4 jaar,"66,48561571579278","701,46"
98,EMMEN,M, 0 t/m  4 jaar,"140,93004858455734","2126,19"
99,ENKHUIZEN,M, 0 t/m  4 jaar,"57,87380045866453","449,13"
100,ENSCHEDE,M, 0 t/m  4 jaar,"120,44039410472344","3682,27"
101,EPE,M, 0 t/m  4 jaar,"40,15876838117254","622,92"
102,ERMELO,M, 0 t/m  4 jaar,"98,07935729847496","550,8"
103,ETTEN-LEUR,M, 0 t/m  4 jaar,"68,36684026899934","988,85"
104,FERWERDERADIEL,M, 0 t/m  4 jaar,"37,43111923093654","229,89"
105,GEERTRUIDENBERG,M, 0 t/m  4 jaar,"69,88992992524058","512,31"
106,GELDERMALSEN,M, 0 t/m  4 jaar,"89,11479206359634","608,84"
107,GELDROP-MIERLO,M, 0 t/m  4 jaar,"129,2291789207677","918,06"
108,GEMERT-BAKEL,M, 0 t/m  4 jaar,"120,89775666172667","688,26"
109,GENNEP,M, 0 t/m  4 jaar,"96,88574064704306","335,99"
110,GIESSENLANDEN,M, 0 t/m  4 jaar,"75,80413396408987","372,04"
111,GILZE EN RIJEN,M, 0 t/m  4 jaar,"83,51473016887752","563,13"
