,GEMEENTENAAM,GESLACHT,LEEFTIJDSKLASSE,KOSTEN_FARMACIE per AANTAL_VERZEKERDEJAREN,AANTAL_VERZEKERDEJAREN
0,AA EN HUNZE,M, 0 t/m  4 jaar,"88,96720881427073","457,44"
1,AALBURG,M, 0 t/m  4 jaar,"102,94655438132982","363,36"
2,AALSMEER,M, 0 t/m  4 jaar,"104,7574702059228","749,31"
3,AALTEN,M, 0 t/m  4 jaar,"136,15790407265504","563,76"
4,ACHTKARSPELEN,M, 0 t/m  4 jaar,"62,80408924133034","675,92"
5,ALBLASSERDAM,M, 0 t/m  4 jaar,"212,90496378731672","566,1"
6,ALBRANDSWAARD,M, 0 t/m  4 jaar,"88,85403524383074","629,33"
7,ALKMAAR,M, 0 t/m  4 jaar,"71,78212628062532","2598,34"
8,ALMELO,M, 0 t/m  4 jaar,"115,49302763894026","1676,62"
9,ALMERE,M, 0 t/m  4 jaar,"117,51656402365414","5549,98"
10,ALPHEN AAN DEN RIJN,M, 0 t/m  4 jaar,"100,17690734800308","2665,35"
11,ALPHEN-CHAAM,M, 0 t/m  4 jaar,"60,41879534837491","201,22"
12,AMELAND,M, 0 t/m  4 jaar,"30,91010733452594","89,44"
13,AMERSFOORT,M, 0 t/m  4 jaar,"85,35140495710154","4194,79"
14,AMSTELVEEN,M, 0 t/m  4 jaar,"83,28923558937305","2189,53"
15,AMSTERDAM,M, 0 t/m  4 jaar,"84,40236978847327","21365,62"
16,APELDOORN,M, 0 t/m  4 jaar,"105,66798006566103","3728,24"
17,APPINGEDAM,M, 0 t/m  4 jaar,"77,26700167504187","238,8"
18,ARNHEM,M, 0 t/m  4 jaar,"87,44922060604202","3914,58"
19,ASSEN,M, 0 t/m  4 jaar,"68,98668043962249","1558,61"
20,ASTEN,M, 0 t/m  4 jaar,"102,03503925559755","343,9"
21,BAARLE-NASSAU,M, 0 t/m  4 jaar,"87,61737659089236","135,93"
