GEMEENTENAAM,KOSTEN_FARMACIE per AANTAL_VERZEKERDEJAREN
KOGGENLAND,"199,45311051044527"
URK,"202,19504268340492"
STAPHORST,"204,7726964677818"
DRECHTERLAND,"208,4951013504696"
FERWERDERADIEL,"211,01325513477943"
BEEMSTER,"213,34910805837333"
MONTFOORT,"214,23003203148778"
LANGEDIJK,"215,14466778334034"
MIDDEN-DELFLAND,"217,3592499979277"
UITGEEST,"217,7015504173434"
OLDAMBT,"353,982908502655"
APPINGEDAM,"355,32589619243277"
MAASTRICHT,"355,4062583083594"
PEKELA,"356,18972092881995"
ZANDVOORT,"357,8143045021632"
DELFZIJL,"363,29401793873444"
MEERSSEN,"366,07758220095815"
HEERLEN,"370,0745740538473"
VAALS,"377,3422006327782"
RUCPHEN,"384,77043035370696"
